Price;Postcode;Latitude;Longitude
725000;BN3 4PL;50,829436;-0,20275
317000;BN23 5TR;50,788122;0,328031
247000;BN24 5FD;50,818154;0,297125
415000;BN44 3WH;50,880955;-0,302852
478000;BN3 5AG;50,835227;-0,178924
465000;BN43 5HD;50,828635;-0,25968
272500;BN9 9SR;50,795405;0,042553
269000;BN24 6NS;50,817251;0,363711
210000;BN2 4ED;50,838945;-0,116101
265000;BN23 6LE;50,791402;0,310046
350000;BN25 2TD;50,786;0,081074
550000;BN20 0JA;50,766446;0,208281
243000;BN41 2TG;50,847971;-0,226259
305000;BN3 2RQ;50,825284;-0,174029
290000;BN8 5QJ;50,892499;0,061516
253000;BN22 0RZ;50,805914;0,265327
385000;BN7 1RS;50,873153;-0,000998
300000;BN42 4WD;50,845323;-0,231942
152500;BN21 2LY;50,777122;0,270106
307500;BN23 7AG;50,799364;0,323963
236000;BN11 2DS;50,813725;-0,35777
164000;BN14 8JF;50,827711;-0,375199
280000;BN17 7BU;50,825272;-0,557838
207500;BN3 5LB;50,835894;-0,193484
875000;BN6 8UD;50,915725;-0,105419
345000;BN14 7QS;50,827982;-0,383737
185000;BN21 3BT;50,765827;0,289328
550000;BN21 4QE;50,76756;0,283981
232000;BN23 7BL;50,799443;0,318645
240000;BN17 5LW;50,806292;-0,542925
276500;BN1 9ES;50,866618;-0,115767
422000;BN1 8HS;50,859253;-0,141584
272500;BN15 9BX;50,828896;-0,316058
164500;BN17 6FX;50,821541;-0,533392
400000;BN12 5BS;50,81521;-0,437071
415000;BN1 8WR;50,865116;-0,148897
470000;BN5 9YG;50,907357;-0,274228
499950;BN3 6WR;50,849867;-0,18057
337500;BN12 4LA;50,81047;-0,421034
390000;BN1 7HF;50,845627;-0,131372
325000;BN27 3ER;50,864801;0,248383
580000;BN5 9EZ;50,937952;-0,276297
250000;BN9 9LG;50,791885;0,047877
480000;BN14 0DL;50,848816;-0,395859
185000;BN11 4JS;50,817648;-0,387586
285000;BN1 7EF;50,841604;-0,127826
333250;BN2 4TL;50,846698;-0,108558
600000;BN3 5HA;50,835485;-0,185092
250000;BN22 8TY;50,785776;0,292076
235000;BN1 6UL;50,849101;-0,153622
249950;BN20 7LG;50,757456;0,27267
303000;BN17 6LT;50,81878;-0,53116
272500;BN22 0DU;50,799176;0,26449
386000;BN7 1QG;50,880204;-0,012026
370000;BN22 8TG;50,779852;0,290552
512500;BN14 0RA;50,858584;-0,403183
440000;BN20 9HY;50,799317;0,249794
375000;BN22 8NH;50,777483;0,294366
306000;BN12 5RS;50,815852;-0,449471
1290000;BN8 4QS;50,980228;0,009906
190000;BN27 4DF;50,888663;0,267633
235000;BN20 7DT;50,765848;0,277246
280000;BN11 5NW;50,810282;-0,394043
471500;BN3 2FE;50,82519;-0,165726
432500;BN12 5RW;50,81577;-0,445328
170000;BN11 2QU;50,814324;-0,351758
440000;BN1 4AT;50,826394;-0,140106
190000;BN27 4SQ;50,877182;0,369059
545000;BN2 6PB;50,83141;-0,070478
205000;BN22 7PP;50,78275;0,304611
225000;BN24 6RN;50,818195;0,363914
148000;BN18 0HQ;50,81722;-0,612367
340000;BN43 5TA;50,833925;-0,279209
435000;BN14 0UJ;50,867641;-0,405218
439000;BN25 3HS;50,7827;0,105555
320000;BN27 3UG;50,86355;0,244728
340000;BN10 8DE;50,798378;0,00597
200000;BN23 8DX;50,807899;0,292662
1170000;BN1 6RE;50,846019;-0,149767
